frame,mode,baseline_best_idx,scored_best_idx,baseline_iou,scored_iou,delta,sam_best_mask_png,score_best_mask_png,sequence
46,default_no_gt,5,1,0.0,0.959226455636497,0.959226455636497,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00046_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00046_best.png,lucia
47,default_no_gt,5,1,0.0,0.956760395629434,0.956760395629434,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00047_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00047_best.png,lucia
48,default_no_gt,5,1,0.0,0.9484867683610312,0.9484867683610312,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00048_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00048_best.png,lucia
49,default_no_gt,5,4,0.0,0.0,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00049_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00049_best.png,lucia
50,default_no_gt,5,7,0.0,0.1523908833606435,0.1523908833606435,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00050_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00050_best.png,lucia
51,default_no_gt,5,4,0.0,0.0,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00051_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00051_best.png,lucia
52,default_no_gt,5,4,0.0,0.0,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00052_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00052_best.png,lucia
53,default_no_gt,5,5,0.0,0.0,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00053_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00053_best.png,lucia
54,default_no_gt,5,7,0.0,0.1363256887492019,0.1363256887492019,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00054_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00054_best.png,lucia
55,default_no_gt,5,7,0.0,0.1233178370442867,0.1233178370442867,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00055_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00055_best.png,lucia
56,default_no_gt,5,8,0.0,0.087681337595279,0.087681337595279,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00056_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00056_best.png,lucia
57,default_no_gt,11,8,0.0,0.0864069520564854,0.0864069520564854,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00057_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00057_best.png,lucia
58,default_no_gt,5,5,0.0,0.0,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00058_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00058_best.png,lucia
59,default_no_gt,5,5,0.0,0.0,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00059_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00059_best.png,lucia
60,default_no_gt,5,11,0.0,0.0977362001240438,0.0977362001240438,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00060_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00060_best.png,lucia
61,default_no_gt,5,11,0.0,0.0988308651597817,0.0988308651597817,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00061_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00061_best.png,lucia
62,default_no_gt,5,11,9.799838302668004e-05,0.1012966393225721,0.1011986409395454,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00062_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00062_best.png,lucia
63,default_no_gt,2,10,0.8743586944656697,0.1496889580093312,-0.7246697364563385,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00063_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00063_best.png,lucia
64,default_no_gt,5,11,0.000102466890386,0.1096034010832217,0.1095009341928356,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00064_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00064_best.png,lucia
65,default_no_gt,5,11,7.636502481863306e-05,0.1080772306637724,0.1080008656389538,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00065_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00065_best.png,lucia
66,default_no_gt,5,10,0.0,0.1411941854404355,0.1411941854404355,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00066_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00066_best.png,lucia
67,default_no_gt,5,11,0.0,0.1107376614187157,0.1107376614187157,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00067_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00067_best.png,lucia
68,default_no_gt,5,11,0.0,0.1103931396823479,0.1103931396823479,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00068_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00068_best.png,lucia
69,default_no_gt,5,11,0.0,0.11179822965927,0.11179822965927,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00069_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00069_best.png,lucia
0,default_no_gt,2,1,0.9293847478710172,0.9229385591214616,-0.0064461887495553,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00000_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00000_best.png,mallard-fly
1,default_no_gt,2,2,0.933850277618227,0.933850277618227,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00001_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00001_best.png,mallard-fly
2,default_no_gt,2,1,0.9356468681475832,0.930634201585504,-0.0050126665620792,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00002_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00002_best.png,mallard-fly
