sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
dog,no_silhouette,0.9616181422660278,0.9626370635212551,0.0010189212552272453,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
dog-agility,default_full,0.9039310932748579,0.8217569367798165,-0.08217415649504119,25,00020,0.008675055837621626,00021,-0.9699148492484143,0.25,0.25,0.25,0.25,0.3,0.25
dog-agility,no_area,0.9039310932748579,0.8100579263765656,-0.09387316689829216,25,00008,0.006749994359777078,00021,-0.9699148492484143,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
dog-agility,no_center,0.9039310932748579,0.9411248397461753,0.037193746471317485,25,00024,0.8906065134815369,00018,-0.005134117026227458,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
dog-agility,no_border,0.9039310932748579,0.9413635893550341,0.03743249608017625,25,00024,0.8906065134815369,00018,-0.005134117026227458,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
dog-agility,no_silhouette,0.9039310932748579,0.8523609174141398,-0.051570175860718076,25,00024,0.8906065134815369,00021,-0.9699148492484143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
drift-chicane,default_full,0.5583224393560866,0.8866712859046726,0.32834884654858604,52,00008,0.9345430978613092,00022,-0.02917449304748143,0.25,0.25,0.25,0.25,0.3,0.25
drift-chicane,no_area,0.5583224393560866,0.9036703840971364,0.3453479447410499,52,00008,0.9345430978613092,00022,-0.02917449304748143,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
drift-chicane,no_center,0.5583224393560866,0.903072766380483,0.3447503270243964,52,00008,0.9345430978613092,00024,-0.04255743019454805,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
drift-chicane,no_border,0.5583224393560866,0.7096628379860679,0.15134039862998125,52,00013,0.9272588055130169,00022,-0.02917449304748143,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
