sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
camel,no_border,0.9691123919178943,0.9691541620361281,4.177011823382667e-05,90,00075,0.048130873026456356,00053,-0.006755635127831172,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
camel,no_silhouette,0.9691123919178943,0.9700628263389626,0.0009504344210684184,90,00075,0.048130873026456356,00070,-0.006358958989108987,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
car-roundabout,default_full,0.7626198835283433,0.9863134927184224,0.22369360919007916,75,00058,0.9893390654854959,00010,-0.0012197147223492744,0.25,0.25,0.25,0.25,0.4,0.3
car-roundabout,no_area,0.7626198835283433,0.7372102163743726,-0.02540966715397082,75,00062,0.9849308833041853,00046,-0.9893345441418143,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
car-roundabout,no_center,0.7626198835283433,0.9863134927184224,0.22369360919007916,75,00058,0.9893390654854959,00010,-0.0012197147223492744,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
car-roundabout,no_border,0.7626198835283433,0.986383017199649,0.22376313367130568,75,00058,0.9893390654854959,00010,-0.0012197147223492744,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
car-roundabout,no_silhouette,0.7626198835283433,0.9862953363558734,0.22367545282753004,75,00058,0.9893390654854959,00052,-0.0015264559082263096,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
car-shadow,default_full,0.316668872984592,0.9749327840248746,0.6582639110402827,40,00001,0.9833506261612335,00039,-0.014490925510622032,0.25,0.25,0.25,0.25,0.4,0.3
car-shadow,no_area,0.316668872984592,0.8528436665286728,0.5361747935440807,40,00011,0.9810186951545212,00033,-0.007261935606555858,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
car-shadow,no_center,0.316668872984592,0.563274323900307,0.2466054509157149,40,00001,0.9833506261612335,00032,-0.9778541428025964,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
car-shadow,no_border,0.316668872984592,0.19631372563701402,-0.12035514734757802,40,00001,0.9833506261612335,00021,-0.9794826830337571,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
car-shadow,no_silhouette,0.316668872984592,0.9507591348726574,0.6340902618880655,40,00005,0.9838535186888083,00039,-0.014490925510622032,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
car-turn,default_full,0.9813100105418723,0.9694307413150456,-0.011879269226826627,80,00040,0.003228951010847525,00024,-0.11227519292021426,0.25,0.25,0.25,0.25,0.4,0.3
car-turn,no_area,0.9813100105418723,0.9410596266772,-0.04025038386467221,80,00049,0.0014644583657434929,00079,-0.2069287557688212,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
car-turn,no_center,0.9813100105418723,0.9720533778728313,-0.009256632669040716,80,00040,0.003228951010847525,00024,-0.11227519292021426,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
car-turn,no_border,0.9813100105418723,0.9758113884183388,-0.005498622123533452,80,00079,0.001797940652161878,00023,-0.09423492900615171,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
car-turn,no_silhouette,0.9813100105418723,0.9720345691506782,-0.009275441391194043,80,00040,0.003228951010847525,00024,-0.11227519292021426,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
cows,default_full,0.9667472072459654,0.9711297664016733,0.00438255915570781,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.25,0.25,0.25,0.25,0.4,0.3
cows,no_area,0.9667472072459654,0.9624046094396754,-0.004342597806290034,104,00013,0.018796161396790634,00056,-0.8848216523707045,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
cows,no_center,0.9667472072459654,0.9709278769186322,0.004180669672666761,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
cows,no_border,0.9667472072459654,0.9711297664016733,0.00438255915570781,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
cows,no_silhouette,0.9667472072459654,0.9712870977347348,0.004539890488769323,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
dance-jump,default_full,0.7148207385221411,0.6734203295927242,-0.04140040892941708,60,00025,0.7805190037977471,00007,-0.9385856297728353,0.25,0.25,0.25,0.25,0.4,0.3
dance-jump,no_area,0.7148207385221411,0.7143857049175465,-0.0004350336045947941,60,00025,0.7805190037977471,00007,-0.9385856297728353,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
dance-jump,no_center,0.7148207385221411,0.6332665839898095,-0.08155415453233192,60,00025,0.7805190037977471,00007,-0.9385856297728353,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
dance-jump,no_border,0.7148207385221411,0.6440369343680751,-0.07078380415406625,60,00025,0.7805190037977471,00001,-0.9325331245832246,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
dance-jump,no_silhouette,0.7148207385221411,0.39620089856745483,-0.31861983995468635,60,00025,0.7805190037977471,00003,-0.9135366216561944,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
dance-twirl,default_full,0.3875035526969882,0.9180306189275017,0.5305270662305134,90,00075,0.9653837884325951,00001,-0.009655068607698492,0.25,0.25,0.25,0.25,0.4,0.3
dance-twirl,no_area,0.3875035526969882,0.8788492616870776,0.4913457089900893,90,00075,0.9653837884325951,00087,-0.5594872855680274,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
dance-twirl,no_center,0.3875035526969882,0.7983892535327803,0.4108857008357919,90,00075,0.9653837884325951,00001,-0.009655068607698492,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
dance-twirl,no_border,0.3875035526969882,0.9051303246938338,0.5176267719968457,90,00075,0.9653837884325951,00001,-0.009655068607698492,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
dance-twirl,no_silhouette,0.3875035526969882,0.9200444793719244,0.5325409266749361,90,00075,0.9653837884325951,00089,-0.5235643954163784,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
dog,default_full,0.9616181422660278,0.9626568703676804,0.0010387281016524567,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.25,0.25,0.25,0.25,0.4,0.3
dog,no_area,0.9616181422660278,0.9626646792908099,0.001046537024781974,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
dog,no_center,0.9616181422660278,0.9626568703676804,0.0010387281016524567,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
dog,no_border,0.9616181422660278,0.9626568703676804,0.0010387281016524567,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
dog,no_silhouette,0.9616181422660278,0.9626320042178185,0.0010138619517905364,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
dog-agility,default_full,0.9039310932748579,0.8217569367798165,-0.08217415649504119,25,00020,0.008675055837621626,00021,-0.9699148492484143,0.25,0.25,0.25,0.25,0.4,0.3
dog-agility,no_area,0.9039310932748579,0.8128127385236941,-0.09111835475116369,25,00008,0.006749994359777078,00021,-0.9699148492484143,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
dog-agility,no_center,0.9039310932748579,0.9348112235174384,0.0308801302425806,25,00024,0.8906065134815369,00006,-0.16057975305161998,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
dog-agility,no_border,0.9039310932748579,0.9413635893550341,0.03743249608017625,25,00024,0.8906065134815369,00018,-0.005134117026227458,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
